"","pairs","Winner","varfd","varty","vartur","varrushes","varrushyd","varrushtd","varpasscom","varpassatt","varpasstd","varpassint","vartotfum","varfumlost","varpenalties","varpenyds"
"107",107,"north-carolina-state",0.212765957446809,0.265116279069767,0,0.545454545454545,0.780669144981413,2,0.3,0.617283950617284,0.4,2,2,2,0.666666666666667,0.125
"108",108,"rutgers",0.0833333333333333,0.0834990059642147,2,0.0487804878048781,0.432915921288014,1,1.1219512195122,0.787878787878788,0,NA,2,2,0.666666666666667,0.947368421052632
"109",109,"louisiana-tech",0.476190476190476,0.221674876847291,0.666666666666667,0.0625,0.0677966101694915,1,0.666666666666667,0.506666666666667,0,2,0,0,0.4,0.407079646017699
"110",110,"rice",0.0645161290322581,0.579387186629526,2,0.0487804878048781,0.167224080267559,2,0.0606060606060606,0.375,2,2,2,NA,1.69230769230769,1.47826086956522
"111",111,"western-kentucky",0.0689655172413793,0.0637958532695375,0.666666666666667,0.0983606557377049,0.341818181818182,2,0.101694915254237,0.0689655172413793,0.333333333333333,2,1,2,0.117647058823529,0.307692307692308
"112",112,"navy",0.32258064516129,0.187290969899666,0.285714285714286,0.549450549450549,0.309090909090909,0.666666666666667,1.14285714285714,1.17647058823529,NA,2,1.2,1.2,0,0.278481012658228
"113",113,"marshall",0.113207547169811,0.172043010752688,NA,0.272727272727273,0.113207547169811,1,0.5,0.276923076923077,1,NA,NA,NA,0.4,0.376237623762376
"114",114,"memphis",0.0869565217391304,0.121546961325967,0.222222222222222,0.193548387096774,0.772908366533865,0.4,0.0425531914893617,0.0631578947368421,0.285714285714286,0,0,0.666666666666667,0.153846153846154,0.47787610619469
"115",115,"bowling-green-state",0.0425531914893617,0.185792349726776,1.2,0.252873563218391,0.0374531835205993,0.4,0.260869565217391,0.102564102564103,0.666666666666667,2,0,0.666666666666667,0.461538461538462,0.488188976377953
"116",116,"air-force",0.162162162162162,0.0407055630936228,0,0.844444444444444,1.12947658402204,2,1.16666666666667,1.16666666666667,2,NA,1,0,1,0.522522522522523
"117",117,"utah",0.761904761904762,0.653753026634383,0.666666666666667,0.865671641791045,1.87061994609164,2,0.1,0.1875,0,0,2,2,0,0.0709219858156028
"118",118,"utah-state",0.285714285714286,0.231511254019293,0.666666666666667,0.13953488372093,0.607476635514019,2,0.888888888888889,0.666666666666667,NA,0,1,2,1.2,1.52941176470588
"119",119,"florida-state",0.272727272727273,0.15347721822542,0,0.523809523809524,0.442105263157895,0.666666666666667,0.352941176470588,0.258064516129032,0,2,0,2,0.461538461538462,0.448979591836735
"120",120,"arkansas-state",0.454545454545455,0.0922190201729107,0,0,0.308571428571429,0,0.24390243902439,0.514285714285714,0,0,2,NA,1.07692307692308,1.0990990990991
"121",121,"vanderbilt",0.153846153846154,0.0507343124165554,0,0.632911392405063,0.364145658263305,1,1.11111111111111,0.882352941176471,0,0,0.4,0,1.2,1.51219512195122
"122",122,"clemson",0.117647058823529,0.297108673978066,0.666666666666667,0.285714285714286,0.0255754475703325,1,0.638297872340426,0.5,0.857142857142857,0,0.666666666666667,2,0.857142857142857,0.823529411764706
"123",123,"missouri",0.109090909090909,0.17029702970297,0,0.186046511627907,0.42080378250591,0.4,0.64,0.257425742574257,0.666666666666667,0.666666666666667,0,0.666666666666667,0.857142857142857,0.816901408450704
"124",124,"oklahoma",0.181818181818182,0.184126984126984,1.33333333333333,0.153846153846154,0.457142857142857,0.666666666666667,0.509803921568627,0.378378378378378,0.666666666666667,0.666666666666667,1,2,0.588235294117647,0.714285714285714
"125",125,"central-florida",0.0714285714285714,0.0108499095840868,1,0.146341463414634,0.271714922048998,0,0.4,0.41025641025641,0.4,0.666666666666667,0.666666666666667,2,1.23809523809524,1.08571428571429
"126",126,"michigan-state",0.625,0.262108262108262,0.666666666666667,0.028169014084507,0.854625550660793,0,0.75,0.666666666666667,2,0,0.666666666666667,2,0.666666666666667,0.444444444444444
"127",127,"south-carolina",0.0487804878048781,0.0660377358490566,0.666666666666667,0.233766233766234,0.858536585365854,2,0.358974358974359,0,0.666666666666667,2,0.666666666666667,0.666666666666667,0.666666666666667,0.421052631578947
"128",128,"louisiana-state",0.307692307692308,0.257943925233645,1,0.318181818181818,0.972972972972973,1,0.6,0.4,2,0.666666666666667,2,2,1,1.36507936507937
"129",129,"nebraska",0.444444444444444,0.301521438450899,0.666666666666667,0,0.4,2,1.11111111111111,0.836363636363636,0.666666666666667,0,1,2,0.153846153846154,0.173913043478261
"130",130,"north-texas",0.1,0.409711684370258,0.666666666666667,0.5,0.72463768115942,2,0.0465116279069767,0.309859154929577,0,2,0.4,0,1,1
"131",131,"mississippi-state",1.17647058823529,1.14454277286136,0,0.358974358974359,1.18666666666667,1,0.769230769230769,0.608695652173913,2,NA,0.666666666666667,0,0.4,0.5
"132",132,"ucla",0.256410256410256,0.33420365535248,0.666666666666667,0.0540540540540541,0.317647058823529,1,0.125,0.181818181818182,2,2,1,2,0.6,0.435754189944134
"133",133,"arizona",0.333333333333333,0.404545454545455,0,0.0851063829787234,0.546365914786967,0.4,0,0.153846153846154,2,2,2,2,0.857142857142857,0.82051282051282
"134",134,"texas-tech",0.181818181818182,0.160714285714286,0.666666666666667,0.36144578313253,1.1195652173913,2,0.545454545454545,0.342857142857143,2,2,1,2,0.133333333333333,0.0168067226890756
"135",135,"oregon",0.594594594594595,0.660992907801418,2,0.0465116279069767,0.181818181818182,2,0.666666666666667,0.122448979591837,2,2,2,NA,0.933333333333333,0.852459016393443
"136",136,"mississippi",0.434782608695652,0.461935483870968,0.666666666666667,0.0206185567010309,0.376344086021505,0.666666666666667,1.28571428571429,0.716981132075472,0,0,0.4,2,0.5,0.909090909090909
"137",137,"navy",0.212765957446809,0.219020172910663,0,0.851063829787234,1.2035010940919,2,1.45454545454545,1.3,NA,2,1.2,2,1,1.21739130434783
"138",138,"kansas-state",0.333333333333333,0.466960352422908,0,0.823529411764706,0.785046728971963,0,0.133333333333333,0.303030303030303,2,2,0.666666666666667,2,0,0.485436893203884
"139",139,"louisville",0.666666666666667,1.04395604395604,2,0.101694915254237,1.53719008264463,0,0.978723404255319,0.5,2,NA,0.666666666666667,2,1.27272727272727,1.19191919191919
"140",140,"north-carolina",0.13953488372093,0.0115273775216138,0.666666666666667,0.24390243902439,0.0350877192982456,0,0.171428571428571,0.0869565217391304,2,2,0,0,0.285714285714286,0.333333333333333
"141",141,"notre-dame",0.638297872340426,0.706849315068493,1.2,0.492753623188406,0.745098039215686,2,0.918918918918919,0.473684210526316,2,2,2,2,0.909090909090909,0.705882352941177
"142",142,"washington",0.382978723404255,0.388888888888889,0,0.0888888888888889,0.0540540540540541,0.666666666666667,0.325581395348837,0.597402597402597,2,0,0.666666666666667,NA,0,0.702702702702703
"143",143,"syracuse",0.19047619047619,0.123324396782842,0,0.19047619047619,0.483582089552239,2,0.375,0.0338983050847458,2,NA,0,0,0.117647058823529,0.203389830508475
"144",144,"marshall",0.285714285714286,0.193995381062356,2,0.333333333333333,0.337349397590361,2,0.666666666666667,0.588235294117647,0.4,2,NA,NA,0.181818181818182,0.2
"145",145,"utah-state",0.111111111111111,0.0860927152317881,0,0.168674698795181,0.51685393258427,0,0.162162162162162,0.222222222222222,0,0.666666666666667,0,2,0.666666666666667,0.787878787878788
"146",146,"pittsburgh",0.153846153846154,0.510309278350515,NA,0.136986301369863,1.84905660377358,2,0.470588235294118,0.4,2,NA,2,NA,0,0.325581395348837
"147",147,"oregon-state",0.24,0.169354838709677,0.666666666666667,0.140845070422535,0.222222222222222,0.666666666666667,0.285714285714286,0.256410256410256,0,2,2,2,0.133333333333333,0.295081967213115
"148",148,"east-carolina",0.352941176470588,0.265204386839482,2,0.102564102564103,0.896907216494845,2,0.222222222222222,0.0444444444444444,0,2,0,NA,0.571428571428571,0.222222222222222
"149",149,"san-diego-state",0.0952380952380952,0.392717815344603,0.4,0.123456790123457,0.751381215469613,2,0.142857142857143,0.0666666666666667,0.4,2,0,0,0.476190476190476,0.772727272727273
